student_id,sex,age,family_size,parent_status,guardian_education,guardian,study_time,school_support,family_support,extra_paid_classes,higher_ed,romantic_relationship,family_relationship,weekday_alcohol,weekend_alcohol,absences,grade_1,grade_2,final_grade
1,F,18,Greater than 3,Apart,higher education,mother,2 to 5 hours,yes,no,no,yes,no,4,1,1,6,5,6,6
2,F,17,Greater than 3,Living together,primary education (4th grade),father,2 to 5 hours,no,yes,no,yes,no,5,1,1,4,5,5,6
3,F,15,Less than or equal to 3,Living together,primary education (4th grade),mother,2 to 5 hours,yes,no,yes,yes,no,4,2,3,10,7,8,10
4,F,15,Greater than 3,Living together,primary education (4th grade),mother,5 to 10 hours,no,yes,yes,yes,yes,3,1,1,2,15,14,15
5,F,16,Greater than 3,Living together,secondary education,father,2 to 5 hours,no,yes,yes,yes,no,4,1,2,4,6,10,10
6,M,16,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,2,10,15,15,15
7,M,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,no,yes,no,4,1,1,0,12,12,11
8,F,17,Greater than 3,Apart,higher education,mother,2 to 5 hours,yes,yes,no,yes,no,4,1,1,6,6,5,6
9,M,15,Less than or equal to 3,Apart,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,4,1,1,0,16,18,19
10,M,15,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,1,0,14,15,15
11,F,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,3,1,2,0,10,8,9
12,F,15,Greater than 3,Living together,primary education (4th grade),father,5 to 10 hours,no,yes,no,yes,no,5,1,1,4,10,12,12
13,M,15,Less than or equal to 3,Living together,higher education,father,<2 hours,no,yes,yes,yes,no,4,1,3,2,14,14,14
14,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,2,2,10,10,11
15,M,15,Greater than 3,Apart,higher education,other,5 to 10 hours,no,yes,no,yes,yes,4,1,1,0,14,16,16
16,F,16,Greater than 3,Living together,higher education,mother,<2 hours,no,yes,no,yes,no,4,1,2,4,14,14,14
17,F,16,Greater than 3,Living together,higher education,mother,5 to 10 hours,no,yes,yes,yes,no,3,1,2,6,13,14,14
18,F,16,Greater than 3,Living together,secondary education,mother,2 to 5 hours,yes,yes,no,yes,no,5,1,1,4,8,10,10
19,M,17,Greater than 3,Living together,secondary education,mother,<2 hours,no,yes,no,yes,no,5,2,4,16,6,5,5
20,M,16,Less than or equal to 3,Living together,secondary education,father,<2 hours,no,no,yes,yes,no,3,1,3,4,8,10,10
21,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,no,no,yes,no,4,1,1,0,13,14,15
22,M,15,Greater than 3,Living together,higher education,father,<2 hours,no,yes,yes,yes,no,5,1,1,0,12,15,15
23,M,16,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,no,no,yes,no,4,1,3,2,15,15,16
24,M,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,yes,no,yes,no,5,2,4,0,13,13,12
25,F,15,Greater than 3,Living together,grade 5th to 9th,mother,5 to 10 hours,yes,yes,yes,yes,no,4,1,1,2,10,9,8
26,F,16,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,no,yes,yes,yes,no,1,1,3,14,6,9,8
27,M,15,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,no,yes,yes,yes,no,4,1,2,2,12,12,11
28,M,15,Greater than 3,Living together,higher education,mother,<2 hours,no,no,yes,yes,no,2,2,4,4,15,16,15
29,M,16,Less than or equal to 3,Apart,secondary education,mother,2 to 5 hours,yes,yes,no,yes,no,5,1,1,4,11,11,11
30,M,16,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,yes,4,5,5,16,10,12,11
31,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,5,3,4,0,9,11,12
32,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,no,4,1,1,0,17,16,17
33,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,yes,4,1,1,0,17,16,16
34,M,15,Less than or equal to 3,Living together,secondary education,mother,2 to 5 hours,no,no,no,yes,no,5,1,1,0,8,10,12
35,M,16,Greater than 3,Living together,secondary education,mother,<2 hours,no,yes,yes,yes,no,5,1,1,0,12,14,15
36,F,15,Greater than 3,Living together,secondary education,father,<2 hours,no,yes,no,yes,no,3,1,1,0,8,7,6
37,M,15,Less than or equal to 3,Living together,higher education,mother,5 to 10 hours,no,yes,no,yes,no,5,1,1,2,15,16,18
38,M,16,Greater than 3,Apart,higher education,mother,5 to 10 hours,no,yes,no,yes,yes,2,1,1,7,15,16,15
39,F,15,Greater than 3,Living together,secondary education,mother,5 to 10 hours,yes,yes,yes,yes,no,4,1,1,2,12,12,11
40,F,15,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,yes,yes,yes,yes,no,4,1,1,8,14,13,13
41,F,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,yes,no,yes,yes,3,1,2,25,7,10,11
42,M,15,Less than or equal to 3,Living together,higher education,other,<2 hours,no,yes,no,yes,yes,5,2,4,8,12,12,12
43,M,15,Greater than 3,Living together,higher education,father,2 to 5 hours,no,yes,no,yes,no,4,1,1,2,19,18,18
44,M,15,Greater than 3,Living together,grade 5th to 9th,father,<2 hours,yes,yes,no,yes,no,5,1,1,0,8,8,11
45,F,16,Less than or equal to 3,Living together,grade 5th to 9th,father,2 to 5 hours,yes,no,no,yes,no,4,2,2,14,10,10,9
46,F,15,Less than or equal to 3,Apart,higher education,mother,2 to 5 hours,yes,yes,yes,yes,yes,5,1,1,8,8,8,6
47,F,16,Less than or equal to 3,Apart,secondary education,mother,2 to 5 hours,no,yes,no,yes,no,2,1,4,12,11,12,11
48,M,16,Greater than 3,Living together,higher education,mother,>10 hours,no,no,no,yes,no,4,1,1,4,19,19,20
49,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,4,2,2,2,15,15,14
50,F,15,Greater than 3,Living together,higher education,father,2 to 5 hours,yes,yes,no,yes,no,4,1,1,2,7,7,7
51,F,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,yes,yes,yes,no,4,2,3,2,12,13,13
52,F,15,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,4,1,1,2,11,13,13
53,M,15,Less than or equal to 3,Apart,grade 5th to 9th,father,<2 hours,no,no,no,yes,no,5,3,4,6,11,11,10
54,F,15,Greater than 3,Living together,higher education,mother,<2 hours,yes,yes,yes,yes,no,3,2,3,0,8,10,11
55,F,15,Less than or equal to 3,Apart,secondary education,mother,<2 hours,no,no,yes,yes,no,5,4,4,6,10,13,13
56,F,16,Greater than 3,Apart,grade 5th to 9th,mother,2 to 5 hours,no,no,yes,yes,yes,5,1,1,8,8,9,10
57,F,15,Greater than 3,Apart,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,4,1,1,0,14,15,15
58,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,no,3,1,1,4,14,15,15
59,M,15,Less than or equal to 3,Living together,primary education (4th grade),father,2 to 5 hours,yes,yes,no,yes,no,4,1,1,2,9,10,9
60,F,16,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,no,4,1,1,2,15,16,16
61,F,16,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,no,2,2,3,6,10,11,11
62,F,16,Greater than 3,Living together,primary education (4th grade),father,<2 hours,yes,yes,no,yes,yes,5,5,5,6,10,8,11
63,F,16,Less than or equal to 3,Living together,grade 5th to 9th,father,2 to 5 hours,yes,no,no,yes,no,4,1,1,4,8,10,9
64,F,16,Greater than 3,Living together,higher education,mother,5 to 10 hours,yes,yes,yes,yes,no,3,2,4,2,10,9,9
65,F,15,Less than or equal to 3,Living together,secondary education,father,2 to 5 hours,yes,no,no,yes,yes,4,2,4,0,10,10,10
66,F,16,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,no,5,1,2,2,16,15,15
67,M,15,Greater than 3,Apart,higher education,mother,>10 hours,no,yes,no,yes,yes,1,5,5,4,13,13,12
68,F,16,Greater than 3,Living together,secondary education,mother,>10 hours,yes,yes,yes,yes,no,4,1,2,4,7,7,6
69,F,15,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,yes,yes,yes,yes,no,4,1,3,2,8,9,8
70,F,15,Less than or equal to 3,Living together,primary education (4th grade),father,>10 hours,no,yes,no,yes,no,4,2,3,12,16,16,16
71,M,16,Greater than 3,Living together,primary education (4th grade),father,>10 hours,no,yes,yes,yes,no,4,1,1,0,13,15,15
72,M,15,Greater than 3,Living together,higher education,mother,>10 hours,no,no,no,yes,no,3,1,1,0,10,10,10
73,F,15,Greater than 3,Living together,primary education (4th grade),mother,2 to 5 hours,yes,yes,no,yes,yes,3,2,4,2,8,6,5
74,M,16,Greater than 3,Living together,secondary education,mother,<2 hours,no,no,no,yes,no,5,2,2,2,12,12,14
75,F,16,Greater than 3,Living together,secondary education,mother,2 to 5 hours,yes,yes,yes,yes,no,4,2,4,54,11,12,11
76,M,15,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,4,2,3,6,9,9,10
77,M,15,Greater than 3,Living together,higher education,mother,>10 hours,no,no,no,yes,no,3,1,1,8,11,11,10
78,F,16,Greater than 3,Living together,grade 5th to 9th,mother,>10 hours,no,no,yes,yes,yes,5,1,3,0,11,11,11
79,M,17,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,yes,yes,no,no,no,4,1,1,2,8,8,10
80,F,16,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,yes,no,yes,no,2,1,2,12,5,5,5
81,M,15,Greater than 3,Living together,secondary education,father,<2 hours,yes,yes,yes,yes,yes,3,1,3,2,10,12,12
82,M,15,Greater than 3,Living together,grade 5th to 9th,mother,5 to 10 hours,yes,no,yes,yes,no,5,1,2,4,11,10,11
83,F,15,Less than or equal to 3,Living together,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,4,1,1,10,7,6,6
84,M,15,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,yes,yes,no,5,1,3,4,15,15,15
85,F,15,Greater than 3,Living together,primary education (4th grade),father,2 to 5 hours,no,yes,no,yes,no,4,2,3,2,9,10,10
86,F,15,Greater than 3,Living together,higher education,father,2 to 5 hours,no,no,yes,yes,yes,4,2,3,6,7,9,8
87,F,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,yes,no,yes,no,4,1,2,4,8,7,6
88,F,15,Greater than 3,Living together,higher education,mother,5 to 10 hours,no,yes,no,yes,no,5,1,3,4,13,14,14
89,M,16,Greater than 3,Living together,grade 5th to 9th,father,2 to 5 hours,no,no,yes,yes,no,4,1,1,12,11,10,10
90,M,16,Less than or equal to 3,Apart,higher education,mother,2 to 5 hours,no,yes,no,yes,no,4,3,5,18,8,6,7
91,F,16,Greater than 3,Living together,secondary education,mother,5 to 10 hours,no,yes,yes,yes,yes,4,1,3,0,7,7,8
92,F,15,Greater than 3,Living together,higher education,mother,<2 hours,no,no,yes,yes,no,4,1,3,4,16,17,18
93,F,16,Less than or equal to 3,Living together,primary education (4th grade),father,2 to 5 hours,yes,yes,no,yes,no,3,2,3,4,7,6,6
94,F,16,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,1,0,11,10,10
95,M,15,Less than or equal to 3,Living together,grade 5th to 9th,mother,>10 hours,no,yes,no,yes,no,4,1,1,6,11,13,14
96,F,15,Greater than 3,Living together,primary education (4th grade),mother,>10 hours,yes,yes,yes,yes,no,3,1,1,2,7,10,10
97,M,16,Greater than 3,Living together,higher education,mother,<2 hours,yes,yes,no,yes,no,3,1,1,2,11,15,15
98,F,16,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,yes,yes,yes,yes,4,1,1,2,8,9,10
99,F,16,Greater than 3,Living together,higher education,mother,<2 hours,no,no,no,yes,no,5,1,2,6,11,14,14
100,F,16,Greater than 3,Living together,higher education,mother,5 to 10 hours,yes,yes,yes,yes,no,5,1,1,0,7,9,8
101,M,16,Greater than 3,Living together,higher education,mother,<2 hours,yes,yes,yes,yes,no,4,5,5,14,7,7,5
102,M,16,Greater than 3,Living together,higher education,father,5 to 10 hours,no,yes,no,yes,yes,4,1,1,0,16,17,17
103,M,15,Greater than 3,Living together,higher education,mother,<2 hours,no,yes,no,yes,no,5,1,1,4,10,13,14
104,F,15,Greater than 3,Living together,secondary education,mother,2 to 5 hours,yes,yes,yes,yes,no,4,1,1,26,7,6,6
105,M,15,Greater than 3,Apart,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,1,0,16,18,18
106,F,15,Greater than 3,Apart,secondary education,father,>10 hours,yes,no,no,yes,no,4,1,1,10,10,11,11
107,F,15,Greater than 3,Living together,grade 5th to 9th,mother,>10 hours,yes,yes,yes,yes,no,5,1,1,8,7,8,8
108,M,16,Greater than 3,Living together,secondary education,father,5 to 10 hours,no,yes,no,yes,no,5,1,1,2,16,18,18
109,M,15,Greater than 3,Living together,higher education,father,>10 hours,no,yes,yes,yes,yes,1,3,5,6,10,13,13
110,F,16,Less than or equal to 3,Living together,higher education,mother,5 to 10 hours,no,yes,yes,yes,yes,5,1,1,4,14,15,16
111,M,15,Less than or equal to 3,Apart,higher education,mother,<2 hours,no,no,no,yes,no,5,1,1,6,18,19,19
112,F,16,Greater than 3,Living together,secondary education,father,5 to 10 hours,yes,yes,no,yes,no,4,1,1,0,7,10,10
113,F,16,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,yes,no,no,yes,no,3,1,1,6,10,13,13
114,M,15,Less than or equal to 3,Living together,higher education,mother,<2 hours,no,no,no,yes,no,3,1,1,10,18,19,19
115,M,15,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,no,yes,yes,5,1,1,8,9,9,9
116,M,16,Greater than 3,Living together,higher education,father,2 to 5 hours,no,yes,no,yes,no,5,1,2,2,15,15,16
117,M,15,Greater than 3,Living together,higher education,father,2 to 5 hours,no,yes,no,yes,no,4,1,1,2,11,13,14
118,M,16,Greater than 3,Living together,secondary education,father,<2 hours,no,no,no,yes,no,5,1,1,0,13,14,13
119,M,17,Greater than 3,Living together,secondary education,father,2 to 5 hours,no,yes,no,yes,no,5,1,4,20,9,7,8
120,M,15,Greater than 3,Living together,higher education,father,<2 hours,no,no,no,yes,no,3,1,2,6,14,13,13
121,F,15,Greater than 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,no,no,yes,no,3,1,2,2,16,15,15
122,M,15,Greater than 3,Living together,grade 5th to 9th,father,>10 hours,no,yes,yes,yes,no,5,1,2,6,16,14,15
123,F,16,Less than or equal to 3,Living together,higher education,father,2 to 5 hours,no,yes,yes,yes,yes,4,1,2,2,13,13,13
124,M,16,Greater than 3,Living together,higher education,mother,<2 hours,no,yes,no,yes,no,3,1,4,18,14,11,13
125,F,16,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,yes,yes,yes,5,1,1,0,8,7,8
126,M,15,Greater than 3,Living together,higher education,father,<2 hours,yes,no,no,yes,no,5,3,2,0,13,13,12
127,F,15,Less than or equal to 3,Apart,secondary education,mother,2 to 5 hours,yes,no,no,yes,yes,5,1,1,0,7,10,11
128,F,19,Greater than 3,Living together,secondary education,other,2 to 5 hours,no,yes,no,no,no,3,1,1,2,7,8,9
129,M,18,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,no,yes,no,yes,no,3,1,2,0,7,4,0
130,M,16,Greater than 3,Living together,higher education,mother,<2 hours,no,no,yes,yes,no,3,2,5,8,18,18,18
131,F,15,Greater than 3,Living together,higher education,father,5 to 10 hours,no,yes,no,yes,yes,4,2,2,0,12,0,0
132,F,15,Greater than 3,Living together,primary education (4th grade),mother,<2 hours,no,yes,no,yes,yes,4,1,2,0,8,0,0
133,F,17,Less than or equal to 3,Living together,grade 5th to 9th,father,<2 hours,no,yes,no,yes,yes,3,1,3,12,10,13,12
134,F,16,Greater than 3,Apart,higher education,father,<2 hours,no,no,no,yes,no,3,1,4,16,12,11,11
135,M,15,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,yes,no,yes,yes,5,1,1,0,9,0,0
136,F,15,Greater than 3,Living together,higher education,mother,5 to 10 hours,no,yes,no,yes,yes,4,1,1,0,11,0,0
137,M,17,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,no,no,yes,no,5,2,4,0,10,0,0
138,F,16,Greater than 3,Apart,secondary education,other,<2 hours,no,yes,no,yes,yes,4,1,1,0,4,0,0
139,M,16,Less than or equal to 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,no,no,yes,yes,4,1,3,0,14,12,12
140,F,15,Greater than 3,Living together,higher education,mother,<2 hours,no,no,no,yes,no,4,1,1,0,16,16,15
141,M,15,Greater than 3,Living together,secondary education,father,>10 hours,yes,yes,no,yes,no,2,1,1,0,7,9,0
142,M,16,Less than or equal to 3,Living together,grade 5th to 9th,father,<2 hours,no,yes,no,yes,no,2,2,2,8,9,9,9
143,F,15,Greater than 3,Living together,higher education,mother,5 to 10 hours,no,yes,yes,yes,no,4,1,1,2,9,11,11
144,F,16,Less than or equal to 3,Living together,primary education (4th grade),mother,<2 hours,no,no,no,yes,no,3,3,3,2,14,14,13
145,M,17,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,no,yes,no,yes,no,5,1,2,0,5,0,0
146,F,15,Greater than 3,Living together,primary education (4th grade),father,2 to 5 hours,no,yes,yes,yes,no,4,1,2,0,8,11,11
147,F,15,Greater than 3,Living together,grade 5th to 9th,father,2 to 5 hours,no,yes,no,yes,no,3,1,1,0,6,7,0
148,F,15,Greater than 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,yes,yes,yes,no,4,1,1,2,10,11,11
149,M,16,Greater than 3,Living together,higher education,mother,<2 hours,no,yes,no,no,yes,3,2,1,0,7,6,0
150,M,15,Less than or equal to 3,Apart,grade 5th to 9th,mother,<2 hours,no,no,no,yes,no,4,2,5,0,8,9,10
151,M,18,Less than or equal to 3,Living together,primary education (4th grade),mother,<2 hours,no,no,no,no,yes,2,2,5,0,6,5,0
152,M,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,<2 hours,no,no,no,yes,yes,4,3,5,6,12,13,14
153,F,15,Greater than 3,Living together,secondary education,other,5 to 10 hours,no,yes,yes,yes,yes,4,2,3,8,10,10,10
154,M,19,Greater than 3,Living together,secondary education,mother,<2 hours,no,yes,no,no,yes,4,1,1,0,5,0,0
155,F,17,Greater than 3,Living together,higher education,mother,<2 hours,yes,yes,no,yes,yes,4,1,1,0,11,11,12
156,M,15,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,yes,no,yes,yes,no,4,1,1,2,11,8,8
157,M,17,Less than or equal to 3,Living together,primary education (4th grade),mother,<2 hours,no,no,no,yes,no,2,3,3,8,16,12,13
158,F,18,Greater than 3,Living together,primary education (4th grade),mother,<2 hours,no,yes,no,yes,no,5,1,5,6,9,8,10
159,M,16,Greater than 3,Living together,grade 5th to 9th,mother,<2 hours,no,no,no,yes,no,4,1,2,2,17,15,15
160,M,16,Greater than 3,Living together,secondary education,father,2 to 5 hours,no,yes,yes,yes,yes,4,4,4,4,10,12,12
161,M,17,Less than or equal to 3,Living together,grade 5th to 9th,mother,<2 hours,no,no,no,no,yes,3,2,2,0,7,6,0
162,M,15,Greater than 3,Living together,secondary education,mother,2 to 5 hours,yes,yes,no,yes,yes,4,1,4,6,5,9,7
163,M,16,Less than or equal to 3,Living together,primary education (4th grade),mother,<2 hours,no,no,no,yes,no,4,2,4,0,7,0,0
164,M,17,Greater than 3,Living together,secondary education,father,<2 hours,no,no,no,no,no,5,1,4,2,10,10,10
165,M,17,Less than or equal to 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,no,no,no,yes,5,1,5,0,5,8,7
166,M,16,Greater than 3,Living together,secondary education,mother,<2 hours,no,yes,no,no,no,4,1,1,16,12,11,12
167,M,16,Greater than 3,Living together,grade 5th to 9th,father,2 to 5 hours,no,no,no,no,no,4,2,4,4,10,10,10
168,F,16,Greater than 3,Living together,grade 5th to 9th,father,2 to 5 hours,no,no,yes,yes,yes,4,1,1,0,14,15,16
169,F,16,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,yes,yes,yes,no,5,1,1,0,6,7,0
170,F,16,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,yes,4,1,1,0,14,14,14
171,M,16,Greater than 3,Living together,higher education,father,<2 hours,no,yes,no,yes,no,3,2,4,0,6,5,0
172,M,16,Greater than 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,yes,yes,yes,yes,4,1,1,2,13,15,16
173,M,17,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,4,1,3,0,13,11,10
174,F,16,Greater than 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,no,no,yes,yes,4,1,1,0,8,7,0
175,F,16,Less than or equal to 3,Living together,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,4,1,1,4,10,11,9
176,M,17,Less than or equal to 3,Living together,higher education,mother,2 to 5 hours,no,no,yes,yes,no,4,4,4,4,10,9,9
177,F,16,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,yes,yes,no,3,1,4,2,13,13,11
178,M,17,Greater than 3,Living together,secondary education,father,2 to 5 hours,no,no,no,yes,no,4,1,4,4,6,5,6
179,M,16,Greater than 3,Living together,higher education,mother,<2 hours,no,yes,no,yes,yes,4,3,4,10,10,8,9
180,M,17,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,no,yes,yes,5,1,1,4,10,10,11
181,M,16,Greater than 3,Living together,higher education,mother,2 to 5 hours,no,yes,yes,yes,no,3,2,3,10,9,8,8
182,M,16,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,no,yes,yes,yes,4,1,2,2,12,13,12
183,F,17,Greater than 3,Living together,higher education,father,2 to 5 hours,no,yes,no,yes,no,5,2,3,0,16,17,17
184,F,17,Less than or equal to 3,Living together,secondary education,mother,2 to 5 hours,no,yes,no,yes,yes,5,2,3,56,9,9,8
185,F,16,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,yes,yes,yes,no,1,1,2,14,12,13,12
186,M,17,Greater than 3,Living together,secondary education,mother,2 to 5 hours,no,yes,no,yes,yes,4,2,3,12,12,12,11
187,M,16,Greater than 3,Living together,primary education (4th grade),mother,<2 hours,no,yes,yes,yes,yes,3,1,2,2,11,12,11
188,M,16,Less than or equal to 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,yes,yes,yes,4,1,2,0,15,15,15
189,F,17,Greater than 3,Apart,secondary education,mother,2 to 5 hours,no,yes,no,yes,yes,3,1,3,6,8,7,9
190,M,17,Greater than 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,no,no,yes,no,3,1,5,4,8,9,10
191,F,16,Greater than 3,Living together,grade 5th to 9th,mother,2 to 5 hours,no,no,no,yes,no,4,1,1,10,11,12,13
192,F,17,Greater than 3,Living together,primary education (4th grade),mother,2 to 5 hours,no,no,no,yes,no,5,1,1,0,8,8,9
193,M,17,Greater than 3,Living together,primary education (4th grade),other,2 to 5 hours,no,no,yes,yes,no,4,4,5,12,7,8,8
194,M,16,Greater than 3,Living together,secondary education,mother,<2 hours,no,yes,no,yes,no,4,3,4,8,8,9,10
195,M,16,Greater than 3,Living together,secondary education,father,<2 hours,no,no,no,yes,no,5,1,1,0,13,14,14
196,F,17,Less than or equal to 3,Living together,higher education,father,2 to 5 hours,no,no,no,yes,yes,4,1,1,0,14,15,15
197,M,17,Greater than 3,Living together,higher education,mother,<2 hours,no,no,no,yes,no,5,1,2,4,17,15,16
